discrepancy_id,category,body_ids,field_ids,source_ids,summary,material_effect,status,production_requirement
GD-001,fitment_material,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",usable_wall_height,"SRC-004;SRC-005;SRC-006;SRC-007;SRC-008",OEM interior height and supplier usable-height terms differ,Can change allowable shelf height,open,Use conservative value and verify a tall placement
GD-002,fitment_material,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",driver_side_usable_space,"SRC-005;SRC-006;SRC-007;SRC-008",Supplier usable-length envelopes differ by body,Can change shelf length selection,open,Verify cargo_front and rear usable boundary
GD-003,fitment_material,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",passenger_side_usable_space,"SRC-005;SRC-006;SRC-007;SRC-008",Door-to-rear and shelving-space datums are not identical,Can change passenger-wall placement,open,Verify sliding-door and rear X boundaries
GD-004,fitment_material,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof","wheel_well_length;wheel_well_height;wheel_well_depth","SRC-005;SRC-006;SRC-007;SRC-008",Wheel-well dimensions differ by up to 0.5 in,Can cause wheel-well interference,open,Use largest obstruction and verify placement
GD-005,fitment_material,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",partition_depth_or_zone,"SRC-005;SRC-006;SRC-007;SRC-008",Partition zone and partition depth use different datums,Can change forward shelf clearance,open,Use 9 in intrusion and verify actual rear face
GD-006,fitment_material,sprinter-144-high-roof,door_opening_width,"SRC-004;SRC-005;SRC-006",Tier 1 OEM width is 50 in while suppliers show 51.5-51.75 in,Can change door-clearance assumptions,open,Use 50 in opening and verify affected placement
GD-007,fitment_material,sprinter-170-extended-high-roof,passenger_side_usable_space,SRC-008,Label states 124.5 in but displayed segments total 125.5 in,Can shift a passenger-side placement by 1 in,open,Use Westcan 121 in and verify before production
GD-008,advisory,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",overall_vehicle_length,"SRC-004;SRC-009;SRC-010;SRC-011",Sterling and OEM overall lengths differ by rounding amounts,Does not control wall placement,open,Preserve both source values
GD-009,advisory,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",rear_door_opening_height,"SRC-004;SRC-009;SRC-010;SRC-011",Sterling rear-door heights are 0.3-0.6 in lower than OEM,Use smaller value for preliminary doorway clearance,open,Verify only if placement uses doorway height
GD-010,advisory,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",source_confidence,"SRC-009;SRC-010;SRC-011",Sterling metadata declares AI-generated content,Limits Sterling to corroborating candidate evidence,open,Do not use Sterling as sole production evidence
GD-011,deferred,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",full_contour_mapping,"SRC-005;SRC-006;SRC-007;SRC-008",Complete contour mapping is not required for planning,No effect unless a placement intersects the contour,deferred,Verify only the affected placement
GD-012,deferred,"sprinter-144-standard-roof;sprinter-144-high-roof;sprinter-170-high-roof;sprinter-170-extended-high-roof",full_structural_digitization,,Complete structural-body digitization is outside this phase,Installer selects actual attachment structure,deferred,Verify attachment points before production
